;Municipalitynumber;Municipality;Size;Residents;Buildingprice;Grasslandprice
192;62128.0;Sankt Lorenzen im Mürztal;38.05;3655.0;84.45;1.94
193;62131.0;Spital am Semmering;73.18;1439.0;42.96;3.46
194;62132.0;Stanz im Mürztal;76.79;1848.0;35.94;2.88
195;62135.0;Turnau;134.29;1605.0;39.77;3.67
196;62138.0;Aflenz;55.1;2445.0;47.18;2.42
197;62139.0;Bruck an der Mur;85.34;158.0;67.51;2.95
198;62140.0;Kapfenberg;82.09;22704.0;51.44;4.29
199;62141.0;Kindberg;90.59;8197.0;52.94;3.65
200;62142.0;Mariazell;413.86;3687.0;51.7;4.99
201;62143.0;Mürzzuschlag;51.36;8356.0;54.36;3.12
202;62144.0;Neuberg an der Mürz;274.78;2385.0;36.59;3.63
203;62145.0;Sankt Barbara im Mürztal;112.55;6607.0;42.0;4.08
204;62146.0;Sankt Marein im Mürztal;29.44;2684.0;60.0;4.35
205;62147.0;Thörl;166.58;2265.0;36.34;5.58
206;62148.0;Tragöß-Sankt Katharein;154.05;1849.0;45.54;2.15
207;;;;;;
208;;;;;;
209;30701.0;Au am Leithaberge;16.74;9380.0;66.25;2.11
210;30702.0;Bad Deutsch-Altenburg;12.58;1786.0;114.08;3.38
211;30703.0;Berg;9.44;9010.0;132.44;3.15
212;30704.0;Bruck an der Leitha;23.69;8007.0;150.99;6.09
213;30706.0;Enzersdorf an der Fischa;31.48;3308.0;105.1;6.58
214;30708.0;Göttlesbrunn-Arbesthal;26.26;1449.0;116.91;4.02
215;30709.0;Götzendorf an der Leitha;25.41;207.0;101.13;3.17
216;30710.0;Hainburg a.d. Donau;25.02;6818.0;112.5;3.68
217;30711.0;Haslau-Maria Ellend;24.83;20.0;150.59;3.27
218;30712.0;Höflein;22.38;1249.0;82.21;3.94
219;30713.0;Hof am Leithaberge;22.06;1557.0;81.97;3.22
220;30715.0;Hundsheim;13.46;6280.0;69.88;1.74
221;30716.0;Mannersdorf am Leithagebirge;29.94;4142.0;113.98;3.58
222;30718.0;Petronell-Carnuntum;25.38;1255.0;85.24;2.74
223;30719.0;Prellenkirchen;41.56;163.0;86.59;2.56
224;30721.0;Rohrau;20.51;1615.0;80.04;3.17
225;30722.0;Scharndorf;25.83;1178.0;86.04;3.49
226;30724.0;Sommerein;41.44;2052.0;102.0;4.42
227;30726.0;Trautmannsdorf an der Leitha;35.45;2982.0;87.6;3.89
228;30728.0;Wolfsthal;21.88;1148.0;142.63;2.75
229;30729.0;Ebergassing;16.27;395.0;112.42;4.36
230;30730.0;Fischamend;25.05;561.0;156.0;5.67
231;30731.0;Gramatneusiedl;6.76;3591.0;189.57;4.62
232;30732.0;Himberg;47.64;7414.0;298.71;7.49
233;30733.0;Klein-Neusiedl;5.97;8950.0;205.58;7.88
234;30734.0;Lanzendorf;4.54;1922.0;255.0;4.13
235;30735.0;Leopoldsdorf;7.0;5219.0;351.49;15.4
236;30736.0;Maria-Lanzendorf;1.69;2201.0;298.71;
237;30737.0;Moosbrunn;16.88;1775.0;146.25;2.23
238;30738.0;Rauchenwarth;13.5;7690.0;151.64;8.0
239;30739.0;Schwadorf;11.39;2207.0;135.0;5.59
240;30740.0;Schwechat;44.86;19424.0;293.82;13.59
241;30741.0;Zwölfaxing;6.76;1746.0;241.61;4.09
242;;;;;;
243;;;;;;
244;60305.0;Frauental an der Laßnitz;15.59;2951.0;51.95;3.14
245;60318.0;Lannach;19.88;3541.0;79.71;3.62
246;60323.0;Pölfing-Brunn;6.16;1631.0;30.56;4.49
247;60324.0;Preding;18.24;1777.0;38.73;3.02
248;60326.0;Sankt Josef (Weststeiermark);13.31;1626.0;46.72;4.14
249;60329.0;Sankt Peter im Sulmtal;10.99;1258.0;32.0;5.53
250;60341.0;Wettmannstätten;17.98;1631.0;32.97;3.58
251;60344.0;Deutschlandsberg;179.19;11649.0;60.11;2.72
252;60345.0;Eibiswald;152.1;6391.0;27.83;3.71
253;60346.0;Groß Sankt Florian;48.8;4142.0;34.99;3.82
254;60347.0;Sankt Martin im Sulmtal;39.21;3099.0;28.96;4.71
255;60348.0;Sankt Stefan ob Stainz;49.26;358.0;70.02;2.08
256;60349.0;Bad Schwanberg;124.26;4564.0;39.43;4.65
257;60350.0;Stainz;92.89;8749.0;43.04;2.42
258;60351.0;Wies;76.62;4322.0;26.55;4.18
259;;;;;;
260;;;;;;
261;80301.0;Dornbirn;120.91;49865.0;427.5;3.5
262;80302.0;Hohenems;29.21;16735.0;284.25;3.42
263;80303.0;Lustenau;22.26;23299.0;343.13;9.96
264;;;;;;
265;;;;;;
266;40501.0;Alkoven;42.51;5984.0;123.61;7.13
267;40502.0;Aschach an der Donau;6.01;2186.0;97.41;10.03
268;40503.0;Eferding;2.81;4271.0;92.24;9.18
269;40504.0;Fraham;16.95;239.0;91.06;14.64
270;40505.0;Haibach ob der Donau;25.56;1285.0;41.92;10.4
271;40506.0;Hartkirchen;39.05;407.0;82.1;5.01
272;40507.0;Hinzenbach;14.58;2055.0;78.5;9.06
273;40508.0;Prambachkirchen;28.73;2932.0;53.21;5.82
274;40509.0;Pupping;13.33;1795.0;77.63;10.87
275;40510.0;St. Marienkirchen an der Polsenz;23.85;2319.0;66.11;4.55
276;40511.0;Scharten;17.46;2277.0;83.88;4.84
277;40512.0;Stroheim;28.8;1609.0;67.93;5.77
278;;;;;;
279;;;;;;
280;10101.0;Eisenstadt;42.87;148.0;168.38;2.54
281;;;;;;
282;;;;;;
283;10301.0;Breitenbrunn am Neusiedler See;25.74;1884.0;176.93;2.32
284;10302.0;Donnerskirchen;33.94;1838.0;86.3;2.54
285;10303.0;Großhöflein;14.26;2106.0;127.25;2.21
286;10304.0;Hornstein;37.06;3109.0;93.73;2.72
287;10305.0;Klingenbach;4.82;1156.0;55.94;1.16
288;10306.0;Leithaprodersdorf;18.95;1205.0;73.97;3.26
289;10307.0;Mörbisch am See;28.03;2203.0;60.63;1.33
290;10308.0;Müllendorf;12.79;1393.0;115.53;1.81
291;10309.0;Neufeld an der Leitha;4.29;3477.0;142.62;2.58
292;10310.0;Oggau am Neusiedler See;52.12;1751.0;55.65;2.17
293;10311.0;Oslip;17.82;1254.0;56.25;1.82
294;10312.0;Purbach am Neusiedler See;45.78;288.0;81.85;2.13
295;10313.0;Sankt Margarethen im Burgenland;26.53;2664.0;79.45;1.45
296;10314.0;Schützen am Gebirge;21.19;1411.0;34.17;1.23
297;10315.0;Siegendorf;23.05;3078.0;79.31;1.64
298;10316.0;Steinbrunn;15.35;2738.0;98.71;2.51
299;10317.0;Trausdorf an der Wulka;15.44;2063.0;88.14;1.44
300;10318.0;Wimpassing an der Leitha;7.91;1675.0;109.75;1.81
301;10319.0;Wulkaprodersdorf;12.22;1978.0;77.53;2.42
302;10320.0;Loretto;2.38;4860.0;71.03;8.17
303;10321.0;Stotzing;12.9;8140.0;65.43;1.67
304;10322.0;Zillingtal;13.1;9600.0;70.51;2.36
305;10323.0;Zagersdorf;7.3;1078.0;67.83;2.0
306;;;;;;
307;;;;;;
308;21001.0;Albeck;99.52;9860.0;69.17;1.81
309;21002.0;Feldkirchen in Kärnten;77.57;1429.0;53.0;3.08
310;21003.0;Glanegg;25.19;1813.0;35.27;8.7
311;21004.0;Gnesau;78.61;1026.0;41.6;1.8
312;21005.0;Himmelberg;56.91;2281.0;44.67;3.02
313;21006.0;Ossiach;17.37;7530.0;127.62;2.61
314;21007.0;Reichenau;114.07;1759.0;58.73;2.05
315;21008.0;St. Urban;27.25;1528.0;44.85;2.72
316;21009.0;Steindorf am Ossiacher See;29.56;3796.0;66.68;3.29
317;21010.0;Steuerberg;32.8;1602.0;36.89;7.78
318;;;;;;
319;;;;;;
320;80401.0;Altach;5.36;6766.0;308.82;9.66
321;80402.0;Düns;3.45;4100.0;177.8;3.52
322;80403.0;Dünserberg;5.56;1410.0;220.0;19.46
323;80404.0;Feldkirch;34.35;34147.0;346.62;6.2
324;80405.0;Frastanz;32.28;6495.0;250.0;2.44
325;80406.0;Fraxern;8.87;7120.0;210.69;2.79
326;80407.0;Göfis;9.06;3333.0;322.43;5.0
327;80408.0;Götzis;14.63;11765.0;351.21;4.82
328;80409.0;Klaus;5.25;3089.0;356.16;3.45
329;80410.0;Koblach;10.25;4696.0;282.05;4.82
330;80411.0;Laterns;43.77;6690.0;122.26;1.99
331;80412.0;Mäder;3.24;4084.0;273.44;10.78
332;80413.0;Meiningen;5.37;2305.0;273.9;9.86
333;80414.0;Rankweil;21.87;11901.0;344.38;10.43
334;80415.0;Röns;1.45;3440.0;184.79;4.25
335;80416.0;Röthis;2.73;2093.0;353.29;4.53
336;80417.0;Satteins;12.71;2743.0;241.27;3.44
337;80418.0;Schlins;6.03;2458.0;245.77;7.13
338;80419.0;Schnifis;4.87;7900.0;150.0;5.3
339;80420.0;Sulz;3.02;2586.0;336.2;13.35
340;80421.0;Übersaxen;5.76;6170.0;192.51;3.91
341;80422.0;Viktorsberg;12.5;4120.0;228.73;4.24
342;80423.0;Weiler;3.08;2117.0;287.5;9.06
343;80424.0;Zwischenwasser;22.62;3271.0;275.04;3.6
344;;;;;;
345;;;;;;
346;40601.0;Freistadt;12.87;7949.0;99.84;10.66
347;40602.0;Grünbach;36.1;1943.0;45.36;3.17
348;40603.0;Gutau;45.3;2732.0;54.77;1.81
349;40604.0;Hagenberg im Mühlkreis;15.05;2772.0;103.75;2.13
350;40605.0;Hirschbach im Mühlkreis;23.63;1181.0;37.63;2.48
351;40606.0;Kaltenberg;17.21;6200.0;101.94;13.49
352;40607.0;Kefermarkt;27.82;2136.0;81.76;2.64
353;40608.0;Königswiesen;73.41;3089.0;39.47;4.0
354;40609.0;Lasberg;43.81;2834.0;65.53;2.0
355;40610.0;Leopoldschlag;25.8;1004.0;35.08;8.64
356;40611.0;Liebenau;76.34;1567.0;;3.71
357;40612.0;Neumarkt im Mühlkreis;46.69;317.0;79.05;1.99
358;40613.0;Pierbach;22.73;1026.0;37.78;6.34
359;40614.0;Pregarten;27.78;5476.0;108.0;3.47
360;40615.0;Rainbach im Mühlkreis;49.28;2988.0;40.82;4.09
361;40616.0;Sandl;58.34;139.0;48.0;4.35
362;40617.0;St. Leonhard bei Freistadt;35.02;1375.0;39.0;1.45
363;40618.0;St. Oswald bei Freistadt;40.99;2885.0;56.43;2.81
364;40619.0;Schönau im Mühlkreis;38.56;1958.0;43.0;5.42
365;40620.0;Tragwein;39.49;3129.0;71.32;3.27
